plant,error,time
1,0.00048660615924913867,0.7231478691101074
2,0.0004133995321522815,0.7012290954589844
3,0.0004521262233272558,0.7137546539306641
4,0.00047019122676800635,0.8203980922698975
5,0.000489754133742952,1.0784831047058105
