skeleton_id,junction_root_hypthol_V1_x,junction_root_hypthol_V1_y,primary_root_tip_V2_x,primary_root_tip_V2_y
0,2152,548,2155,1534
1,3195,557,3198,1501
2,1646,559,1654,1584
3,2698,559,2639,1453
4,1072,594,1109,1606
